c:@E@SFSafariViewControllerDismissButtonStyle@SFSafariViewControllerDismissButtonStyleClose	swift.enum.case	SFSafariViewController.DismissButtonStyle.close	SFSafariViewController.DismissButtonStyle.close	case close
c:@E@SFSafariViewControllerDismissButtonStyle@SFSafariViewControllerDismissButtonStyleDone	swift.enum.case	SFSafariViewController.DismissButtonStyle.done	SFSafariViewController.DismissButtonStyle.done	case done
c:@E@SSReadingListErrorCode	swift.enum	SSReadingListError.Code	SSReadingListError.Code	enum Code
c:@E@SSReadingListErrorCode@SSReadingListErrorURLSchemeNotAllowed	swift.enum.case	SSReadingListError.Code.urlSchemeNotAllowed	SSReadingListError.Code.urlSchemeNotAllowed	case urlSchemeNotAllowed
c:@SFAuthenticationErrorDomain	swift.var	SFAuthenticationErrorDomain	SFAuthenticationErrorDomain	let SFAuthenticationErrorDomain: String
c:@SFContentBlockerErrorDomain	swift.var	SFContentBlockerErrorDomain	SFContentBlockerErrorDomain	let SFContentBlockerErrorDomain: String
c:@SFErrorDomain	swift.var	SFErrorDomain	SFErrorDomain	let SFErrorDomain: String
c:@SFExtensionMessageKey	swift.var	SFExtensionMessageKey	SFExtensionMessageKey	let SFExtensionMessageKey: String
c:@SFExtensionProfileKey	swift.var	SFExtensionProfileKey	SFExtensionProfileKey	let SFExtensionProfileKey: String
c:@SSReadingListErrorDomain	swift.var	SSReadingListErrorDomain	SSReadingListErrorDomain	let SSReadingListErrorDomain: String
c:@T@SFAuthenticationCompletionHandler	swift.typealias	SFAuthenticationSession.CompletionHandler	SFAuthenticationSession.CompletionHandler	typealias CompletionHandler = (URL?, (any Error)?) -> Void
c:objc(cs)SFAddToHomeScreenInfo	swift.class	SFAddToHomeScreenInfo	SFAddToHomeScreenInfo	class SFAddToHomeScreenInfo
c:objc(cs)SFAddToHomeScreenInfo(im)initWithManifest:	swift.init	init(manifest:)	SFAddToHomeScreenInfo.init(manifest:)	init(manifest: BEWebAppManifest)
c:objc(cs)SFAddToHomeScreenInfo(py)manifest	swift.property	manifest	SFAddToHomeScreenInfo.manifest	@NSCopying var manifest: BEWebAppManifest { get }
c:objc(cs)SFAddToHomeScreenInfo(py)websiteCookies	swift.property	websiteCookies	SFAddToHomeScreenInfo.websiteCookies	var websiteCookies: [HTTPCookie] { get set }
c:objc(cs)SFAuthenticationSession	swift.class	SFAuthenticationSession	SFAuthenticationSession	class SFAuthenticationSession
c:objc(cs)SFAuthenticationSession(im)cancel	swift.method	cancel()	SFAuthenticationSession.cancel()	func cancel()
c:objc(cs)SFAuthenticationSession(im)initWithURL:callbackURLScheme:completionHandler:	swift.init	init(url:callbackURLScheme:completionHandler:)	SFAuthenticationSession.init(url:callbackURLScheme:completionHandler:)	init(url URL: URL, callbackURLScheme: String?, completionHandler: @escaping SFAuthenticationSession.CompletionHandler)
c:objc(cs)SFAuthenticationSession(im)initWithURL:callbackURLScheme:completionHandler:::SYNTHESIZED::c:objc(cs)SFAuthenticationSession	swift.init	init(URL:callbackURLScheme:completionHandler:)	SFAuthenticationSession.init(URL:callbackURLScheme:completionHandler:)	init(URL: URL, callbackURLScheme: String?, completionHandler: @escaping SFAuthenticationSession.CompletionHandler)
c:objc(cs)SFAuthenticationSession(im)start	swift.method	start()	SFAuthenticationSession.start()	func start() -> Bool
c:objc(cs)SFContentBlockerManager	swift.class	SFContentBlockerManager	SFContentBlockerManager	class SFContentBlockerManager
c:objc(cs)SFContentBlockerManager(cm)getStateOfContentBlockerWithIdentifier:completionHandler:	swift.type.method	getStateOfContentBlocker(withIdentifier:completionHandler:)	SFContentBlockerManager.getStateOfContentBlocker(withIdentifier:completionHandler:)	class func getStateOfContentBlocker(withIdentifier identifier: String, completionHandler: @escaping (SFContentBlockerState?, (any Error)?) -> Void)
c:objc(cs)SFContentBlockerManager(cm)reloadContentBlockerWithIdentifier:completionHandler:	swift.type.method	reloadContentBlocker(withIdentifier:)	SFContentBlockerManager.reloadContentBlocker(withIdentifier:)	class func reloadContentBlocker(withIdentifier identifier: String) async throws
c:objc(cs)SFContentBlockerState	swift.class	SFContentBlockerState	SFContentBlockerState	class SFContentBlockerState
c:objc(cs)SFContentBlockerState(py)enabled	swift.property	isEnabled	SFContentBlockerState.isEnabled	var isEnabled: Bool { get }
c:objc(cs)SFSafariSettings	swift.class	SFSafariSettings	SFSafariSettings	class SFSafariSettings
c:objc(cs)SFSafariSettings(cm)openExportBrowsingDataSettingsWithCompletionHandler:	swift.type.method	openExportBrowsingDataSettings(completionHandler:)	SFSafariSettings.openExportBrowsingDataSettings(completionHandler:)	class func openExportBrowsingDataSettings(completionHandler: (@MainActor ((any Error)?) -> Void)? = nil)
c:objc(cs)SFSafariViewController	swift.class	SFSafariViewController	SFSafariViewController	@MainActor class SFSafariViewController
c:objc(cs)SFSafariViewController(cm)prewarmConnectionsToURLs:	swift.type.method	prewarmConnections(to:)	SFSafariViewController.prewarmConnections(to:)	@MainActor class func prewarmConnections(to URLs: [URL]) -> SFSafariViewController.PrewarmingToken
c:objc(cs)SFSafariViewController(im)initWithURL:	swift.init	init(url:)	SFSafariViewController.init(url:)	@MainActor convenience init(url URL: URL)
c:objc(cs)SFSafariViewController(im)initWithURL:::SYNTHESIZED::c:objc(cs)SFSafariViewController	swift.init	init(URL:)	SFSafariViewController.init(URL:)	@MainActor convenience init(URL: URL)
