precise	kind	title	path	declaration
c:objc(cs)UNNotificationCategory(py)actions	swift.property	actions	UNNotificationCategory.actions	var actions: [UNNotificationAction] { get }
c:objc(cs)UNNotificationCategory(py)categorySummaryFormat	swift.property	categorySummaryFormat	UNNotificationCategory.categorySummaryFormat	var categorySummaryFormat: String { get }
c:objc(cs)UNNotificationCategory(py)hiddenPreviewsBodyPlaceholder	swift.property	hiddenPreviewsBodyPlaceholder	UNNotificationCategory.hiddenPreviewsBodyPlaceholder	var hiddenPreviewsBodyPlaceholder: String { get }
c:objc(cs)UNNotificationCategory(py)identifier	swift.property	identifier	UNNotificationCategory.identifier	var identifier: String { get }
c:objc(cs)UNNotificationCategory(py)intentIdentifiers	swift.property	intentIdentifiers	UNNotificationCategory.intentIdentifiers	var intentIdentifiers: [String] { get }
c:objc(cs)UNNotificationCategory(py)options	swift.property	options	UNNotificationCategory.options	var options: UNNotificationCategoryOptions { get }
c:objc(cs)UNNotificationContent	swift.class	UNNotificationContent	UNNotificationContent	class UNNotificationContent
c:objc(cs)UNNotificationContent(im)contentByUpdatingWithProvider:error:	swift.method	updating(from:)	UNNotificationContent.updating(from:)	func updating(from provider: any UNNotificationContentProviding) throws -> UNNotificationContent
c:objc(cs)UNNotificationContent(py)attachments	swift.property	attachments	UNNotificationContent.attachments	var attachments: [UNNotificationAttachment] { get }
c:objc(cs)UNNotificationContent(py)badge	swift.property	badge	UNNotificationContent.badge	@NSCopying var badge: NSNumber? { get }
c:objc(cs)UNNotificationContent(py)body	swift.property	body	UNNotificationContent.body	var body: String { get }
c:objc(cs)UNNotificationContent(py)categoryIdentifier	swift.property	categoryIdentifier	UNNotificationContent.categoryIdentifier	var categoryIdentifier: String { get }
c:objc(cs)UNNotificationContent(py)filterCriteria	swift.property	filterCriteria	UNNotificationContent.filterCriteria	var filterCriteria: String? { get }
c:objc(cs)UNNotificationContent(py)interruptionLevel	swift.property	interruptionLevel	UNNotificationContent.interruptionLevel	var interruptionLevel: UNNotificationInterruptionLevel { get }
c:objc(cs)UNNotificationContent(py)launchImageName	swift.property	launchImageName	UNNotificationContent.launchImageName	var launchImageName: String { get }
c:objc(cs)UNNotificationContent(py)relevanceScore	swift.property	relevanceScore	UNNotificationContent.relevanceScore	var relevanceScore: Double { get }
c:objc(cs)UNNotificationContent(py)sound	swift.property	sound	UNNotificationContent.sound	@NSCopying var sound: UNNotificationSound? { get }
c:objc(cs)UNNotificationContent(py)subtitle	swift.property	subtitle	UNNotificationContent.subtitle	var subtitle: String { get }
c:objc(cs)UNNotificationContent(py)summaryArgument	swift.property	summaryArgument	UNNotificationContent.summaryArgument	var summaryArgument: String { get }
c:objc(cs)UNNotificationContent(py)summaryArgumentCount	swift.property	summaryArgumentCount	UNNotificationContent.summaryArgumentCount	var summaryArgumentCount: Int { get }
