precise	kind	title	path	declaration
s:8AlarmKit0A17PresentationStateV4ModeO5AlertV4timeAA0A0V8ScheduleO8RelativeV4TimeVvp	swift.property	time	AlarmPresentationState.Mode.Alert.time	var time: Alarm.Schedule.Relative.Time
s:8AlarmKit0A17PresentationStateV4ModeO5AlertV4timeAgA0A0V8ScheduleO8RelativeV4TimeV_tcfc	swift.init	init(time:)	AlarmPresentationState.Mode.Alert.init(time:)	init(time: Alarm.Schedule.Relative.Time)
s:8AlarmKit0A17PresentationStateV4ModeO5AlertV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	AlarmPresentationState.Mode.Alert.encode(to:)	func encode(to encoder: any Encoder) throws
s:8AlarmKit0A17PresentationStateV4ModeO5AlertV9hashValueSivp	swift.property	hashValue	AlarmPresentationState.Mode.Alert.hashValue	var hashValue: Int { get }
s:8AlarmKit0A17PresentationStateV4ModeO5alertyA2E5AlertVcAEmF	swift.enum.case	AlarmPresentationState.Mode.alert(_:)	AlarmPresentationState.Mode.alert(_:)	case alert(AlarmPresentationState.Mode.Alert)
s:8AlarmKit0A17PresentationStateV4ModeO6PausedV	swift.struct	AlarmPresentationState.Mode.Paused	AlarmPresentationState.Mode.Paused	struct Paused
s:8AlarmKit0A17PresentationStateV4ModeO6PausedV22totalCountdownDuration017previouslyElapsedI0AGSd_Sdtcfc	swift.init	init(totalCountdownDuration:previouslyElapsedDuration:)	AlarmPresentationState.Mode.Paused.init(totalCountdownDuration:previouslyElapsedDuration:)	init(totalCountdownDuration: TimeInterval, previouslyElapsedDuration: TimeInterval)
s:8AlarmKit0A17PresentationStateV4ModeO6PausedV22totalCountdownDurationSdvp	swift.property	totalCountdownDuration	AlarmPresentationState.Mode.Paused.totalCountdownDuration	var totalCountdownDuration: TimeInterval
s:8AlarmKit0A17PresentationStateV4ModeO6PausedV25previouslyElapsedDurationSdvp	swift.property	previouslyElapsedDuration	AlarmPresentationState.Mode.Paused.previouslyElapsedDuration	var previouslyElapsedDuration: TimeInterval
s:8AlarmKit0A17PresentationStateV4ModeO6PausedV2eeoiySbAG_AGtFZ	swift.func.op	==(_:_:)	AlarmPresentationState.Mode.Paused.==(_:_:)	static func == (a: AlarmPresentationState.Mode.Paused, b: AlarmPresentationState.Mode.Paused) -> Bool
s:8AlarmKit0A17PresentationStateV4ModeO6PausedV4fromAGs7Decoder_p_tKcfc	swift.init	init(from:)	AlarmPresentationState.Mode.Paused.init(from:)	init(from decoder: any Decoder) throws
s:8AlarmKit0A17PresentationStateV4ModeO6PausedV4hash4intoys6HasherVz_tF	swift.method	hash(into:)	AlarmPresentationState.Mode.Paused.hash(into:)	func hash(into hasher: inout Hasher)
s:8AlarmKit0A17PresentationStateV4ModeO6PausedV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	AlarmPresentationState.Mode.Paused.encode(to:)	func encode(to encoder: any Encoder) throws
s:8AlarmKit0A17PresentationStateV4ModeO6PausedV9hashValueSivp	swift.property	hashValue	AlarmPresentationState.Mode.Paused.hashValue	var hashValue: Int { get }
s:8AlarmKit0A17PresentationStateV4ModeO6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	AlarmPresentationState.Mode.encode(to:)	func encode(to encoder: any Encoder) throws
s:8AlarmKit0A17PresentationStateV4ModeO6pausedyA2E6PausedVcAEmF	swift.enum.case	AlarmPresentationState.Mode.paused(_:)	AlarmPresentationState.Mode.paused(_:)	case paused(AlarmPresentationState.Mode.Paused)
s:8AlarmKit0A17PresentationStateV4ModeO9CountdownV	swift.struct	AlarmPresentationState.Mode.Countdown	AlarmPresentationState.Mode.Countdown	struct Countdown
